ANIO,MES,FECHA,K_ACCESO_INTERNET,TECNO_ACCESO_INTERNET,A_TOTAL_E
2013,01,15/01/2013,01,Cable Coaxial,"2,299,058"
2013,02,15/02/2013,01,Cable Coaxial,"2,331,248"
2013,03,15/03/2013,01,Cable Coaxial,"2,362,275"
2013,04,15/04/2013,01,Cable Coaxial,"2,385,720"
2013,05,15/05/2013,01,Cable Coaxial,"2,404,525"
2013,06,15/06/2013,01,Cable Coaxial,"2,438,683"
2013,07,15/07/2013,01,Cable Coaxial,"2,476,133"
2013,08,15/08/2013,01,Cable Coaxial,"2,542,473"
2013,09,15/09/2013,01,Cable Coaxial,"2,603,165"
2013,10,15/10/2013,01,Cable Coaxial,"2,659,294"
2013,11,15/11/2013,01,Cable Coaxial,"2,711,870"
2013,12,15/12/2013,01,Cable Coaxial,"2,765,477"
2014,01,15/01/2014,01,Cable Coaxial,"2,851,143"
2014,02,15/02/2014,01,Cable Coaxial,"2,890,572"
2014,03,15/03/2014,01,Cable Coaxial,"2,937,954"
2014,04,15/04/2014,01,Cable Coaxial,"2,977,929"
2014,05,15/05/2014,01,Cable Coaxial,"3,041,967"
2014,06,15/06/2014,01,Cable Coaxial,"3,099,574"
2014,07,15/07/2014,01,Cable Coaxial,"3,145,396"
2014,08,15/08/2014,01,Cable Coaxial,"3,228,675"
2014,09,15/09/2014,01,Cable Coaxial,"3,286,949"
2014,10,15/10/2014,01,Cable Coaxial,"3,361,295"
2014,11,15/11/2014,01,Cable Coaxial,"3,436,430"
2014,12,15/12/2014,01,Cable Coaxial,"3,529,127"
2015,01,15/01/2015,01,Cable Coaxial,"3,633,787"
2015,02,15/02/2015,01,Cable Coaxial,"3,719,731"
2015,03,15/03/2015,01,Cable Coaxial,"3,811,085"
2015,04,15/04/2015,01,Cable Coaxial,"4,097,034"
2015,05,15/05/2015,01,Cable Coaxial,"4,180,193"
2015,06,15/06/2015,01,Cable Coaxial,"4,251,000"
2015,07,15/07/2015,01,Cable Coaxial,"4,402,537"
2015,08,15/08/2015,01,Cable Coaxial,"4,502,773"
2015,09,15/09/2015,01,Cable Coaxial,"4,615,463"
2015,10,15/10/2015,01,Cable Coaxial,"4,697,101"
2015,11,15/11/2015,01,Cable Coaxial,"4,775,341"
2015,12,15/12/2015,01,Cable Coaxial,"4,894,167"
2016,01,15/01/2016,01,Cable Coaxial,"4,953,483"
2016,02,15/02/2016,01,Cable Coaxial,"4,993,541"
2016,03,15/03/2016,01,Cable Coaxial,"5,025,931"
2016,04,15/04/2016,01,Cable Coaxial,"5,045,708"
2016,05,15/05/2016,01,Cable Coaxial,"5,092,186"
2016,06,15/06/2016,01,Cable Coaxial,"5,151,788"
2016,07,15/07/2016,01,Cable Coaxial,"5,200,201"
2016,08,15/08/2016,01,Cable Coaxial,"5,278,824"
2016,09,15/09/2016,01,Cable Coaxial,"5,378,936"
2016,10,15/10/2016,01,Cable Coaxial,"5,427,673"
2016,11,15/11/2016,01,Cable Coaxial,"5,457,835"
2016,12,15/12/2016,01,Cable Coaxial,"5,545,232"
2017,01,15/01/2017,01,Cable Coaxial,"5,445,608"
2017,02,15/02/2017,01,Cable Coaxial,"5,459,593"
2017,03,15/03/2017,01,Cable Coaxial,"5,524,270"
2017,04,15/04/2017,01,Cable Coaxial,"5,566,194"
2017,05,15/05/2017,01,Cable Coaxial,"5,654,575"
2017,06,15/06/2017,01,Cable Coaxial,"5,745,640"
2017,07,15/07/2017,01,Cable Coaxial,"5,816,518"
2017,08,15/08/2017,01,Cable Coaxial,"5,918,788"
2017,09,15/09/2017,01,Cable Coaxial,"5,983,760"
2017,10,15/10/2017,01,Cable Coaxial,"6,064,768"
2017,11,15/11/2017,01,Cable Coaxial,"6,137,217"
2017,12,15/12/2017,01,Cable Coaxial,"6,242,132"
2018,01,15/01/2018,01,Cable Coaxial,"6,359,648"
2018,02,15/02/2018,01,Cable Coaxial,"6,434,686"
2018,03,15/03/2018,01,Cable Coaxial,"6,517,063"
2018,04,15/04/2018,01,Cable Coaxial,"6,591,659"
2018,05,15/05/2018,01,Cable Coaxial,"6,668,418"
2018,06,15/06/2018,01,Cable Coaxial,"6,724,949"
2018,07,15/07/2018,01,Cable Coaxial,"6,751,800"
2018,08,15/08/2018,01,Cable Coaxial,"6,808,356"
2018,09,15/09/2018,01,Cable Coaxial,"6,862,449"
2018,10,15/10/2018,01,Cable Coaxial,"6,886,719"
2018,11,15/11/2018,01,Cable Coaxial,"6,921,493"
2018,12,15/12/2018,01,Cable Coaxial,"6,985,267"
2019,01,15/01/2019,01,Cable Coaxial,"7,037,850"
2019,02,15/02/2019,01,Cable Coaxial,"7,058,305"
2019,03,15/03/2019,01,Cable Coaxial,"7,092,405"
2019,04,15/04/2019,01,Cable Coaxial,"7,148,479"
2019,05,15/05/2019,01,Cable Coaxial,"7,181,983"
2019,06,15/06/2019,01,Cable Coaxial,"7,228,267"
2013,01,15/01/2013,02,DSL,"8,283,418"
2013,02,15/02/2013,02,DSL,"8,302,404"
2013,03,15/03/2013,02,DSL,"8,309,452"
2013,04,15/04/2013,02,DSL,"8,322,759"
2013,05,15/05/2013,02,DSL,"8,330,061"
2013,06,15/06/2013,02,DSL,"8,332,803"
2013,07,15/07/2013,02,DSL,"8,355,794"
2013,08,15/08/2013,02,DSL,"8,387,362"
2013,09,15/09/2013,02,DSL,"8,421,583"
2013,10,15/10/2013,02,DSL,"8,450,664"
2013,11,15/11/2013,02,DSL,"8,467,981"
2013,12,15/12/2013,02,DSL,"8,459,284"
2014,01,15/01/2014,02,DSL,"8,512,630"
2014,02,15/02/2014,02,DSL,"8,543,545"
2014,03,15/03/2014,02,DSL,"8,572,782"
2014,04,15/04/2014,02,DSL,"8,594,222"
2014,05,15/05/2014,02,DSL,"8,601,319"
2014,06,15/06/2014,02,DSL,"8,598,551"
2014,07,15/07/2014,02,DSL,"8,610,526"
2014,08,15/08/2014,02,DSL,"8,635,711"
2014,09,15/09/2014,02,DSL,"8,659,252"
2014,10,15/10/2014,02,DSL,"8,667,086"
2014,11,15/11/2014,02,DSL,"8,700,076"
2014,12,15/12/2014,02,DSL,"7,953,186"
2015,01,15/01/2015,02,DSL,"7,954,870"
2015,02,15/02/2015,02,DSL,"7,975,486"
2015,03,15/03/2015,02,DSL,"7,982,625"
2015,04,15/04/2015,02,DSL,"7,983,728"
2015,05,15/05/2015,02,DSL,"7,999,771"
2015,06,15/06/2015,02,DSL,"7,996,174"
2015,07,15/07/2015,02,DSL,"7,999,306"
2015,08,15/08/2015,02,DSL,"7,990,218"
2015,09,15/09/2015,02,DSL,"7,988,162"
2015,10,15/10/2015,02,DSL,"7,981,665"
2015,11,15/11/2015,02,DSL,"7,944,038"
2015,12,15/12/2015,02,DSL,"7,946,467"
2016,01,15/01/2016,02,DSL,"7,928,055"
2016,02,15/02/2016,02,DSL,"7,920,267"
2016,03,15/03/2016,02,DSL,"7,853,640"
2016,04,15/04/2016,02,DSL,"7,806,763"
2016,05,15/05/2016,02,DSL,"7,746,183"
2016,06,15/06/2016,02,DSL,"7,684,453"
2016,07,15/07/2016,02,DSL,"7,655,375"
2016,08,15/08/2016,02,DSL,"7,626,824"
2016,09,15/09/2016,02,DSL,"7,636,184"
2016,10,15/10/2016,02,DSL,"7,623,920"
2016,11,15/11/2016,02,DSL,"7,596,012"
2016,12,15/12/2016,02,DSL,"7,655,062"
2017,01,15/01/2017,02,DSL,"7,535,255"
2017,02,15/02/2017,02,DSL,"7,503,227"
2017,03,15/03/2017,02,DSL,"7,442,460"
2017,04,15/04/2017,02,DSL,"7,416,129"
2017,05,15/05/2017,02,DSL,"7,422,454"
2017,06,15/06/2017,02,DSL,"7,374,486"
2017,07,15/07/2017,02,DSL,"7,313,663"
2017,08,15/08/2017,02,DSL,"7,355,927"
2017,09,15/09/2017,02,DSL,"7,264,410"
2017,10,15/10/2017,02,DSL,"7,212,755"
2017,11,15/11/2017,02,DSL,"7,225,366"
2017,12,15/12/2017,02,DSL,"7,252,078"
2018,01,15/01/2018,02,DSL,"7,289,096"
2018,02,15/02/2018,02,DSL,"7,262,555"
2018,03,15/03/2018,02,DSL,"7,272,604"
2018,04,15/04/2018,02,DSL,"7,301,274"
2018,05,15/05/2018,02,DSL,"7,233,500"
2018,06,15/06/2018,02,DSL,"7,178,847"
2018,07,15/07/2018,02,DSL,"7,120,272"
2018,08,15/08/2018,02,DSL,"7,105,275"
2018,09,15/09/2018,02,DSL,"7,074,950"
2018,10,15/10/2018,02,DSL,"7,013,943"
2018,11,15/11/2018,02,DSL,"6,986,008"
2018,12,15/12/2018,02,DSL,"7,168,184"
2019,01,15/01/2019,02,DSL,"7,145,926"
2019,02,15/02/2019,02,DSL,"7,107,425"
2019,03,15/03/2019,02,DSL,"7,065,263"
2019,04,15/04/2019,02,DSL,"7,034,900"
2019,05,15/05/2019,02,DSL,"7,002,122"
2019,06,15/06/2019,02,DSL,"6,989,373"
2013,01,15/01/2013,03,Fibra Óptica,"470,091"
2013,02,15/02/2013,03,Fibra Óptica,"510,902"
2013,03,15/03/2013,03,Fibra Óptica,"546,873"
2013,04,15/04/2013,03,Fibra Óptica,"583,107"
2013,05,15/05/2013,03,Fibra Óptica,"616,281"
2013,06,15/06/2013,03,Fibra Óptica,"649,504"
2013,07,15/07/2013,03,Fibra Óptica,"679,453"
2013,08,15/08/2013,03,Fibra Óptica,"704,171"
2013,09,15/09/2013,03,Fibra Óptica,"719,773"
2013,10,15/10/2013,03,Fibra Óptica,"744,060"
2013,11,15/11/2013,03,Fibra Óptica,"762,893"
2013,12,15/12/2013,03,Fibra Óptica,"774,563"
2014,01,15/01/2014,03,Fibra Óptica,"790,665"
2014,02,15/02/2014,03,Fibra Óptica,"801,129"
2014,03,15/03/2014,03,Fibra Óptica,"812,159"
2014,04,15/04/2014,03,Fibra Óptica,"823,823"
2014,05,15/05/2014,03,Fibra Óptica,"841,650"
2014,06,15/06/2014,03,Fibra Óptica,"855,782"
2014,07,15/07/2014,03,Fibra Óptica,"874,444"
2014,08,15/08/2014,03,Fibra Óptica,"889,527"
2014,09,15/09/2014,03,Fibra Óptica,"907,258"
2014,10,15/10/2014,03,Fibra Óptica,"932,466"
2014,11,15/11/2014,03,Fibra Óptica,"890,979"
2014,12,15/12/2014,03,Fibra Óptica,"920,580"
2015,01,15/01/2015,03,Fibra Óptica,"977,999"
2015,02,15/02/2015,03,Fibra Óptica,"999,935"
2015,03,15/03/2015,03,Fibra Óptica,"1,025,801"
2015,04,15/04/2015,03,Fibra Óptica,"1,059,298"
2015,05,15/05/2015,03,Fibra Óptica,"1,096,503"
2015,06,15/06/2015,03,Fibra Óptica,"1,139,557"
2015,07,15/07/2015,03,Fibra Óptica,"1,205,436"
2015,08,15/08/2015,03,Fibra Óptica,"1,259,512"
2015,09,15/09/2015,03,Fibra Óptica,"1,318,321"
2015,10,15/10/2015,03,Fibra Óptica,"1,396,835"
2015,11,15/11/2015,03,Fibra Óptica,"1,451,721"
2015,12,15/12/2015,03,Fibra Óptica,"1,512,650"
2016,01,15/01/2016,03,Fibra Óptica,"1,594,419"
2016,02,15/02/2016,03,Fibra Óptica,"1,631,766"
2016,03,15/03/2016,03,Fibra Óptica,"1,736,833"
2016,04,15/04/2016,03,Fibra Óptica,"1,836,280"
2016,05,15/05/2016,03,Fibra Óptica,"1,923,875"
2016,06,15/06/2016,03,Fibra Óptica,"2,016,523"
2016,07,15/07/2016,03,Fibra Óptica,"2,160,437"
2016,08,15/08/2016,03,Fibra Óptica,"2,247,256"
2016,09,15/09/2016,03,Fibra Óptica,"2,320,881"
2016,10,15/10/2016,03,Fibra Óptica,"2,384,612"
2016,11,15/11/2016,03,Fibra Óptica,"2,462,013"
2016,12,15/12/2016,03,Fibra Óptica,"2,540,595"
2017,01,15/01/2017,03,Fibra Óptica,"2,589,313"
2017,02,15/02/2017,03,Fibra Óptica,"2,636,626"
2017,03,15/03/2017,03,Fibra Óptica,"2,697,656"
2017,04,15/04/2017,03,Fibra Óptica,"2,739,410"
2017,05,15/05/2017,03,Fibra Óptica,"2,784,159"
2017,06,15/06/2017,03,Fibra Óptica,"2,839,909"
2017,07,15/07/2017,03,Fibra Óptica,"2,890,665"
2017,08,15/08/2017,03,Fibra Óptica,"2,966,822"
2017,09,15/09/2017,03,Fibra Óptica,"3,003,683"
2017,10,15/10/2017,03,Fibra Óptica,"3,039,752"
2017,11,15/11/2017,03,Fibra Óptica,"3,087,875"
2017,12,15/12/2017,03,Fibra Óptica,"3,129,230"
2018,01,15/01/2018,03,Fibra Óptica,"3,194,419"
2018,02,15/02/2018,03,Fibra Óptica,"3,242,519"
2018,03,15/03/2018,03,Fibra Óptica,"3,309,906"
2018,04,15/04/2018,03,Fibra Óptica,"3,377,102"
2018,05,15/05/2018,03,Fibra Óptica,"3,430,064"
2018,06,15/06/2018,03,Fibra Óptica,"3,472,497"
2018,07,15/07/2018,03,Fibra Óptica,"3,526,088"
2018,08,15/08/2018,03,Fibra Óptica,"3,605,962"
2018,09,15/09/2018,03,Fibra Óptica,"3,672,262"
2018,10,15/10/2018,03,Fibra Óptica,"3,761,046"
2018,11,15/11/2018,03,Fibra Óptica,"3,851,524"
2018,12,15/12/2018,03,Fibra Óptica,"3,720,313"
2019,01,15/01/2019,03,Fibra Óptica,"3,738,465"
2019,02,15/02/2019,03,Fibra Óptica,"3,838,436"
2019,03,15/03/2019,03,Fibra Óptica,"3,916,258"
2019,04,15/04/2019,03,Fibra Óptica,"3,989,745"
2019,05,15/05/2019,03,Fibra Óptica,"4,059,484"
2019,06,15/06/2019,03,Fibra Óptica,"4,119,242"
2013,01,15/01/2013,04,Satelital,"5,352"
2013,02,15/02/2013,04,Satelital,"5,083"
2013,03,15/03/2013,04,Satelital,"5,109"
2013,04,15/04/2013,04,Satelital,"5,130"
2013,05,15/05/2013,04,Satelital,"5,155"
2013,06,15/06/2013,04,Satelital,"5,157"
2013,07,15/07/2013,04,Satelital,"5,166"
2013,08,15/08/2013,04,Satelital,"5,187"
2013,09,15/09/2013,04,Satelital,"5,213"
2013,10,15/10/2013,04,Satelital,"5,306"
2013,11,15/11/2013,04,Satelital,"5,325"
2013,12,15/12/2013,04,Satelital,"5,333"
2014,01,15/01/2014,04,Satelital,"5,350"
2014,02,15/02/2014,04,Satelital,"5,346"
2014,03,15/03/2014,04,Satelital,"5,330"
2014,04,15/04/2014,04,Satelital,"5,346"
2014,05,15/05/2014,04,Satelital,"5,220"
2014,06,15/06/2014,04,Satelital,"5,239"
2014,07,15/07/2014,04,Satelital,"5,208"
2014,08,15/08/2014,04,Satelital,"5,226"
2014,09,15/09/2014,04,Satelital,"5,251"
2014,10,15/10/2014,04,Satelital,"3,930"
2014,11,15/11/2014,04,Satelital,"3,988"
2014,12,15/12/2014,04,Satelital,"3,845"
2015,01,15/01/2015,04,Satelital,"3,883"
2015,02,15/02/2015,04,Satelital,"3,907"
2015,03,15/03/2015,04,Satelital,"3,940"
2015,04,15/04/2015,04,Satelital,283
2015,05,15/05/2015,04,Satelital,315
2015,06,15/06/2015,04,Satelital,336
2015,07,15/07/2015,04,Satelital,476
2015,08,15/08/2015,04,Satelital,484
2015,09,15/09/2015,04,Satelital,568
2015,10,15/10/2015,04,Satelital,574
2015,11,15/11/2015,04,Satelital,580
2015,12,15/12/2015,04,Satelital,637
2016,01,15/01/2016,04,Satelital,646
2016,02,15/02/2016,04,Satelital,651
2016,03,15/03/2016,04,Satelital,662
2016,04,15/04/2016,04,Satelital,668
2016,05,15/05/2016,04,Satelital,671
2016,06,15/06/2016,04,Satelital,678
2016,07,15/07/2016,04,Satelital,374
2016,08,15/08/2016,04,Satelital,365
2016,09,15/09/2016,04,Satelital,368
2016,10,15/10/2016,04,Satelital,373
2016,11,15/11/2016,04,Satelital,370
2016,12,15/12/2016,04,Satelital,365
2018,04,15/04/2018,04,Satelital,"5,876"
2018,05,15/05/2018,04,Satelital,"6,338"
2018,06,15/06/2018,04,Satelital,"6,669"
2018,07,15/07/2018,04,Satelital,"7,370"
2018,08,15/08/2018,04,Satelital,"7,710"
2018,09,15/09/2018,04,Satelital,"7,969"
2018,10,15/10/2018,04,Satelital,"8,266"
2018,11,15/11/2018,04,Satelital,"8,703"
2018,12,15/12/2018,04,Satelital,"8,867"
2019,01,15/01/2019,04,Satelital,"12,114"
2019,02,15/02/2019,04,Satelital,"12,635"
2019,03,15/03/2019,04,Satelital,"12,909"
2019,04,15/04/2019,04,Satelital,"20,025"
2019,05,15/05/2019,04,Satelital,"20,115"
2019,06,15/06/2019,04,Satelital,"21,123"
2013,01,15/01/2013,05,Terrestre fijo inalámbrico,"435,841"
2013,02,15/02/2013,05,Terrestre fijo inalámbrico,"427,841"
2013,03,15/03/2013,05,Terrestre fijo inalámbrico,"421,728"
2013,04,15/04/2013,05,Terrestre fijo inalámbrico,"418,674"
2013,05,15/05/2013,05,Terrestre fijo inalámbrico,"415,511"
2013,06,15/06/2013,05,Terrestre fijo inalámbrico,"412,214"
2013,07,15/07/2013,05,Terrestre fijo inalámbrico,"410,346"
2013,08,15/08/2013,05,Terrestre fijo inalámbrico,"413,249"
2013,09,15/09/2013,05,Terrestre fijo inalámbrico,"412,510"
2013,10,15/10/2013,05,Terrestre fijo inalámbrico,"414,048"
2013,11,15/11/2013,05,Terrestre fijo inalámbrico,"417,208"
2013,12,15/12/2013,05,Terrestre fijo inalámbrico,"417,517"
2014,01,15/01/2014,05,Terrestre fijo inalámbrico,"421,690"
2014,02,15/02/2014,05,Terrestre fijo inalámbrico,"422,745"
2014,03,15/03/2014,05,Terrestre fijo inalámbrico,"421,710"
2014,04,15/04/2014,05,Terrestre fijo inalámbrico,"421,883"
2014,05,15/05/2014,05,Terrestre fijo inalámbrico,"422,527"
2014,06,15/06/2014,05,Terrestre fijo inalámbrico,"421,064"
2014,07,15/07/2014,05,Terrestre fijo inalámbrico,"420,157"
2014,08,15/08/2014,05,Terrestre fijo inalámbrico,"420,316"
2014,09,15/09/2014,05,Terrestre fijo inalámbrico,"419,984"
2014,10,15/10/2014,05,Terrestre fijo inalámbrico,"418,778"
2014,11,15/11/2014,05,Terrestre fijo inalámbrico,"416,785"
2014,12,15/12/2014,05,Terrestre fijo inalámbrico,"412,190"
2015,01,15/01/2015,05,Terrestre fijo inalámbrico,"405,701"
2015,02,15/02/2015,05,Terrestre fijo inalámbrico,"399,420"
2015,03,15/03/2015,05,Terrestre fijo inalámbrico,"395,774"
2015,04,15/04/2015,05,Terrestre fijo inalámbrico,"292,545"
2015,05,15/05/2015,05,Terrestre fijo inalámbrico,"286,246"
2015,06,15/06/2015,05,Terrestre fijo inalámbrico,"279,368"
2015,07,15/07/2015,05,Terrestre fijo inalámbrico,"272,341"
2015,08,15/08/2015,05,Terrestre fijo inalámbrico,"266,467"
2015,09,15/09/2015,05,Terrestre fijo inalámbrico,"260,636"
2015,10,15/10/2015,05,Terrestre fijo inalámbrico,"258,427"
2015,11,15/11/2015,05,Terrestre fijo inalámbrico,"249,866"
2015,12,15/12/2015,05,Terrestre fijo inalámbrico,"244,930"
2016,01,15/01/2016,05,Terrestre fijo inalámbrico,"237,891"
2016,02,15/02/2016,05,Terrestre fijo inalámbrico,"230,628"
2016,03,15/03/2016,05,Terrestre fijo inalámbrico,"223,800"
2016,04,15/04/2016,05,Terrestre fijo inalámbrico,"217,500"
2016,05,15/05/2016,05,Terrestre fijo inalámbrico,"211,112"
2016,06,15/06/2016,05,Terrestre fijo inalámbrico,"205,328"
2016,07,15/07/2016,05,Terrestre fijo inalámbrico,"200,488"
2016,08,15/08/2016,05,Terrestre fijo inalámbrico,"196,134"
2016,09,15/09/2016,05,Terrestre fijo inalámbrico,"192,345"
2016,10,15/10/2016,05,Terrestre fijo inalámbrico,"187,652"
2016,11,15/11/2016,05,Terrestre fijo inalámbrico,"182,889"
2016,12,15/12/2016,05,Terrestre fijo inalámbrico,"177,577"
2017,01,15/01/2017,05,Terrestre fijo inalámbrico,"165,831"
2017,02,15/02/2017,05,Terrestre fijo inalámbrico,"159,950"
2017,03,15/03/2017,05,Terrestre fijo inalámbrico,"153,461"
2017,04,15/04/2017,05,Terrestre fijo inalámbrico,"146,975"
2017,05,15/05/2017,05,Terrestre fijo inalámbrico,"140,888"
2017,06,15/06/2017,05,Terrestre fijo inalámbrico,"134,358"
2017,07,15/07/2017,05,Terrestre fijo inalámbrico,"128,609"
2017,08,15/08/2017,05,Terrestre fijo inalámbrico,"123,284"
2017,09,15/09/2017,05,Terrestre fijo inalámbrico,"118,639"
2017,10,15/10/2017,05,Terrestre fijo inalámbrico,"113,244"
2017,11,15/11/2017,05,Terrestre fijo inalámbrico,"107,590"
2017,12,15/12/2017,05,Terrestre fijo inalámbrico,"102,804"
2018,01,15/01/2018,05,Terrestre fijo inalámbrico,"97,120"
2018,02,15/02/2018,05,Terrestre fijo inalámbrico,"89,912"
2018,03,15/03/2018,05,Terrestre fijo inalámbrico,"84,715"
2018,04,15/04/2018,05,Terrestre fijo inalámbrico,"78,632"
2018,05,15/05/2018,05,Terrestre fijo inalámbrico,"71,650"
2018,06,15/06/2018,05,Terrestre fijo inalámbrico,"67,459"
2018,07,15/07/2018,05,Terrestre fijo inalámbrico,"62,773"
2018,08,15/08/2018,05,Terrestre fijo inalámbrico,"58,833"
2018,09,15/09/2018,05,Terrestre fijo inalámbrico,"55,236"
2018,10,15/10/2018,05,Terrestre fijo inalámbrico,"51,765"
2018,11,15/11/2018,05,Terrestre fijo inalámbrico,"47,944"
2018,12,15/12/2018,05,Terrestre fijo inalámbrico,"45,004"
2016,01,15/01/2016,07,Otras tecnologías,"4,797"
2016,02,15/02/2016,07,Otras tecnologías,"4,799"
2016,03,15/03/2016,07,Otras tecnologías,"4,639"
2016,04,15/04/2016,07,Otras tecnologías,"4,642"
2016,05,15/05/2016,07,Otras tecnologías,"4,744"
2016,06,15/06/2016,07,Otras tecnologías,"4,952"
2016,07,15/07/2016,07,Otras tecnologías,"4,905"
2016,08,15/08/2016,07,Otras tecnologías,"5,080"
2016,09,15/09/2016,07,Otras tecnologías,"5,075"
2016,10,15/10/2016,07,Otras tecnologías,"5,043"
2016,11,15/11/2016,07,Otras tecnologías,"4,994"
2016,12,15/12/2016,07,Otras tecnologías,"5,140"
2017,01,15/01/2017,99,Sin tecnología,"268,935"
2017,02,15/02/2017,99,Sin tecnología,"266,861"
2017,03,15/03/2017,99,Sin tecnología,"266,976"
2017,04,15/04/2017,99,Sin tecnología,"266,696"
2017,05,15/05/2017,99,Sin tecnología,"267,294"
2017,06,15/06/2017,99,Sin tecnología,"268,643"
2017,07,15/07/2017,99,Sin tecnología,"271,407"
2017,08,15/08/2017,99,Sin tecnología,"271,923"
2017,09,15/09/2017,99,Sin tecnología,"270,388"
2017,10,15/10/2017,99,Sin tecnología,"271,365"
2017,11,15/11/2017,99,Sin tecnología,"272,741"
2017,12,15/12/2017,99,Sin tecnología,"274,238"
2018,01,15/01/2018,99,Sin tecnología,"272,341"
2018,02,15/02/2018,99,Sin tecnología,"273,744"
2018,03,15/03/2018,99,Sin tecnología,"275,540"
2018,04,15/04/2018,99,Sin tecnología,"278,455"
2018,05,15/05/2018,99,Sin tecnología,"280,810"
2018,06,15/06/2018,99,Sin tecnología,"280,866"
2018,07,15/07/2018,99,Sin tecnología,"269,709"
2018,08,15/08/2018,99,Sin tecnología,"271,439"
2018,09,15/09/2018,99,Sin tecnología,"273,051"
2018,10,15/10/2018,99,Sin tecnología,"419,408"
2018,11,15/11/2018,99,Sin tecnología,"425,738"
2018,12,15/12/2018,99,Sin tecnología,"431,393"
2019,01,15/01/2019,99,Sin tecnología,"447,166"
2019,02,15/02/2019,99,Sin tecnología,"434,814"
2019,03,15/03/2019,99,Sin tecnología,"435,692"
2019,04,15/04/2019,99,Sin tecnología,"475,083"
2019,05,15/05/2019,99,Sin tecnología,"485,778"
2019,06,15/06/2019,99,Sin tecnología,"496,383"
